FTB_FUNCTION,FTB_TAB,FTB_RENTITY,FTB_VISIBLE,FTB_SELECT,FTB_UPDATE,FTB_INSERT,FTB_DELETE,FTB_DISPLAYFT,FTB_SYSREQUIRED,FTB_SEQ,FTB_SQLEXIST,FTB_UPDATECOUNT,FTB_ALTERSAVE,FTB_INTERFACECODE,FTB_MEKEY,FTB_EWSBTN,FTB_XTYPE,FTB_NODESIGN,FTB_DESIGNPOPUP,FTB_LASTSAVED,FTB_PRODUCT
TRJOBS,CMT,,'+,?,*,'+,X,'-,'+,3,,0,,,YY,'-,,'+,'-,2021-09-29 09:33:24,B
TRJOBS,CST,,'+,?,,,,'-,'+,13,,0,,WECOST,YY,'-,recordview,'-,'-,2021-09-29 09:33:24,W
TRJOBS,CTR,,'+,?,,,,'-,'-,24,,2,,,YN,'-,listonly,'+,'-,2022-05-21 01:00:57,B
TRJOBS,CWO,,'+,?,*,'+,X,'-,,16,,1,'+,,YY,'-,,'-,'-,2022-05-21 01:00:57,B
TRJOBS,DAE,,'+,?,*,'+,X,'-,'-,53,,0,,,YY,'-,listonly,'-,'-,2021-09-29 09:33:24,B
TRJOBS,DES,,'-,?,*,'+,X,'-,'-,22,,1,,,YY,'-,,'-,'-,2025-04-03 03:01:21,B
TRJOBS,DIW,,'+,?,,,,'-,'-,47,,1,,,YY,'-,listonly,'+,'-,2022-05-21 01:00:57,B
TRJOBS,DOC,,'+,?,*,'+,X,'-,,11,,0,,,YY,'-,,'-,'-,2021-09-29 09:33:24,B
TRJOBS,DPD,,'+,?,*,'+,X,,'-,59,,0,'+,WEDPDS,YY,'-,,'-,'-,2026-04-02 01:02:59,B
TRJOBS,EAC,EVAC,'+,?,*,'+,X,'-,'-,51,,1,'+,WEACMP,YY,'-,,'-,'-,2022-05-21 01:00:57,B
TRJOBS,EER,WOER,'+,?,*,'+,X,'-,'-,52,,1,'+,WEWOER,YY,'-,,'-,'-,2022-05-21 01:00:57,B
TRJOBS,EPO,,'+,?,*,'+,X,'-,'-,29,,0,'+,WEWOIN,YN,'-,,'-,'-,2021-09-29 09:33:24,B
TRJOBS,ERC,,'-,?,,,,'-,'-,21,,0,,,YN,'-,,'+,'-,2021-09-29 09:33:24,B
TRJOBS,ETP,OTP,'+,?,*,'+,X,'-,'-,27,,1,'+,WEWOCL,YN,'-,listdetailview,'-,'-,2021-11-20 01:25:52,B
TRJOBS,GPH,,'+,?,,,,'-,'-,38,,1,,,YY,'-,reportview,'-,'-,2022-05-21 01:00:57,B
TRJOBS,JBL,,'+,?,*,'+,X,'-,'-,18,,1,'+,WEJRPS,YN,'-,,'-,'-,2022-05-21 01:00:57,B
TRJOBS,JOB,ACT,'-,?,*,'+,X,'-,'-,41,,1,'+,WEACTJ,YY,'-,listdetailview,'-,'-,2022-05-21 01:00:57,B
TRJOBS,KSF,PCTN,'+,?,*,'+,X,'-,'-,39,,1,'+,WESFWO,YY,'-,listdetailview,'-,'-,2022-05-21 01:00:57,B
TRJOBS,LNO,EVNT,'-,?,,,,'-,'-,44,,0,,,YY,'-,linearoverview,'-,'-,2021-09-29 09:33:24,W
TRJOBS,MAP,,'+,?,*,,,'-,'-,48,,0,,,YY,'-,map,'+,'-,2021-09-29 09:33:24,M
TRJOBS,MDR,,'+,?,*,'+,X,'-,'-,32,,1,'+,WEJOBM,YN,'-,,'-,'-,2022-05-21 01:00:57,B
TRJOBS,MEC,,'+,?,*,'+,X,'-,'-,12,,0,'+,WEWOEQ,YY,'-,,'-,'-,2021-09-29 09:33:24,B
TRJOBS,NCF,NOCO,'+,?,*,'+,X,'-,'-,46,,0,'+,OENCOB,YY,'-,listdetailview,'-,'-,2021-09-29 09:33:24,B
TRJOBS,NCT,NOCF,'-,?,*,'+,X,'-,'-,54,,1,'+,OENCOB,YY,'-,listdetailview,'-,'-,2022-05-21 01:00:57,B
