FTB_FUNCTION,FTB_TAB,FTB_RENTITY,FTB_VISIBLE,FTB_SELECT,FTB_UPDATE,FTB_INSERT,FTB_DELETE,FTB_DISPLAYFT,FTB_SYSREQUIRED,FTB_SEQ,FTB_SQLEXIST,FTB_UPDATECOUNT,FTB_ALTERSAVE,FTB_INTERFACECODE,FTB_MEKEY,FTB_EWSBTN,FTB_XTYPE,FTB_NODESIGN,FTB_DESIGNPOPUP,FTB_LASTSAVED,FTB_PRODUCT
ZJ1000,TOU,,'+,?,*,'+,X,'-,'-,14,,0,'+,WETLUG,YY,'-,listdetailview,'-,'-,2025-10-23 11:40:39,B
ZJ1000,TPL,,'+,?,*,'+,X,'-,'-,35,,0,'+,WEPNTL,YY,'-,listdetailview,'-,'-,2025-10-23 11:40:39,B
ZJ1000,TRL,TRL,'+,?,,,,'-,'-,50,,0,,,YY,'-,listonly,'+,'-,2025-10-23 11:40:39,B
ZJ1000,TRTD,,'+,?,,,,'-,'-,99,,0,,,YY,'-,listdetailview,'-,'+,2025-10-23 11:40:39,W
ZJ1000,UT1,,'+,?,*,'+,X,,,57,,0,,,YY,'-,,'-,'-,2025-10-23 11:40:39,B
ZJ1000,UT2,,'+,?,*,'+,X,,,60,,0,,,YY,'-,,'-,'-,2025-10-23 11:40:39,W
ZJ1000,VBH,BOOK,'+,?,,'+,,'-,'-,6,,0,'+,WEVDBK,YY,'-,listdetailview,'-,'-,2025-10-23 11:40:39,B
ZJ1000,WEH,,'+,?,,,,'-,'-,58,,0,,,YY,'-,listonly,'+,'-,2025-10-23 11:40:39,B
ZJ1000,WFE,WFEV,'+,?,*,,,'-,'-,57,,0,,,YY,'-,listonly,'-,'-,2025-10-23 11:40:39,B
ZJ1000,WKM,WKMV,'+,?,*,'+,X,'-,'-,45,,0,'+,OEWKMV,YY,'-,,'-,'-,2025-10-23 11:40:39,B
ZJ1000,WOR,WORP,'-,?,*,'+,X,'-,'-,42,,0,'+,WEWORP,YY,'-,listdetailview,'-,'-,2025-10-23 11:40:39,B
WSJODC,ACD,,'-,?,*,'+,X,'-,'-,26,,0,,,YN,'-,,'-,'-,2025-10-08 08:57:55,B
WSJODC,ACK,ACT,'+,?,*,,,'-,'-,40,,0,,,YY,'-,listonly,'-,'-,2025-10-08 08:57:55,W
WSJODC,ACO,,'+,?,,'+,,'-,'+,19,,0,,WEWOOC,YY,'-,listdetailview,'-,'-,2025-10-08 08:57:55,B
WSJODC,ACT,ACT,'+,?,*,'+,X,'-,'+,4,,0,'+,WEACTJ,YY,'-,,'-,'-,2025-10-08 08:57:55,B
WSJODC,ADR,,'-,?,*,'+,X,'-,'-,25,,0,,,YN,'-,,'-,'-,2025-10-08 08:57:55,B
WSJODC,AQU,,'+,?,,'+,X,'-,'-,28,,0,'+,WEJOBA,YN,'-,listdetailview,'-,'-,2025-10-08 08:57:55,B
WSJODC,BOO,BOOK,'+,?,,'+,,'-,'+,5,,0,'+,WEBOOK,YY,'-,listdetailview,'-,'-,2025-10-08 08:57:55,B
WSJODC,CEC,,'+,?,,,,'-,'-,56,,0,,,YY,'-,listonly,'+,'-,2025-10-08 08:57:55,B
WSJODC,CGO,OBJ,'+,?,*,,,'-,'-,34,,0,,JECAME,YN,'-,listonly,'-,'-,2025-10-08 08:57:55,B
WSJODC,CLC,,'+,?,*,'+,X,'-,'-,49,,0,,,YY,'-,closingcomments,'+,'-,2025-10-08 08:57:55,M
WSJODC,CLO,,'+,?,*,'+,X,'-,'+,7,,0,,,YY,'-,recordview,'-,'-,2025-10-08 08:57:55,B
WSJODC,CMT,,'+,?,*,'+,X,'-,'+,3,,0,,,YY,'-,,'+,'-,2025-10-08 08:57:55,B
WSJODC,CST,,'+,?,,,,'-,'+,13,,0,,WECOST,YY,'-,recordview,'-,'-,2025-10-08 08:57:55,W
WSJODC,CTR,,'+,?,,,,'-,'-,24,,0,,,YN,'-,listonly,'+,'-,2025-10-08 08:57:55,B
WSJODC,CWO,,'+,?,*,'+,X,'-,,16,,0,'+,,YY,'-,,'-,'-,2025-10-08 08:57:55,B
WSJODC,DAE,,'+,?,*,'+,X,'-,'-,53,,0,,,YY,'-,listonly,'-,'-,2025-10-08 08:57:55,B
WSJODC,DES,,'-,?,*,'+,X,'-,'-,22,,0,,,YY,'-,,'-,'-,2025-10-08 08:57:55,B
WSJODC,DIW,,'+,?,,,,'-,'-,47,,0,,,YY,'-,listonly,'+,'-,2025-10-08 08:57:55,B
WSJODC,DOC,,'+,?,*,'+,X,'-,,11,,0,,,YY,'-,,'-,'-,2025-10-08 08:57:55,B
WSJODC,DPD,,'+,?,*,'+,X,,'-,59,,0,'+,WEDPDS,YY,'-,,'-,'-,2026-04-02 01:02:59,B
WSJODC,EAC,EVAC,'+,?,*,'+,X,'-,'-,51,,0,'+,WEACMP,YY,'-,,'-,'-,2025-10-08 08:57:55,B
WSJODC,EER,WOER,'+,?,*,'+,X,'-,'-,52,,0,'+,WEWOER,YY,'-,,'-,'-,2025-10-08 08:57:55,B
WSJODC,EPO,,'+,?,*,'+,X,'-,'-,29,,0,'+,WEWOIN,YN,'-,,'-,'-,2025-10-08 08:57:55,B
WSJODC,ERC,,'-,?,,,,'-,'-,21,,0,,,YN,'-,,'+,'-,2025-10-08 08:57:55,B
WSJODC,ETP,OTP,'+,?,*,'+,X,'-,'-,27,,0,'+,WEWOCL,YN,'-,listdetailview,'-,'-,2025-10-08 08:57:55,B
WSJODC,GPH,,'+,?,,,,'-,'-,38,,0,,,YY,'-,reportview,'-,'-,2025-10-08 08:57:55,B
WSJODC,JBL,,'+,?,*,'+,X,'-,'-,18,,0,'+,WEJRPS,YN,'-,,'-,'-,2025-10-08 08:57:55,B
WSJODC,JOB,ACT,'-,?,*,'+,X,'-,'-,41,,0,'+,WEACTJ,YY,'-,listdetailview,'-,'-,2025-10-08 08:57:55,B
WSJODC,KSF,PCTN,'+,?,*,'+,X,'-,'-,39,,0,'+,WESFWO,YY,'-,listdetailview,'-,'-,2025-10-08 08:57:55,B
WSJODC,LNO,EVNT,'-,?,,,,'-,'-,44,,0,,,YY,'-,linearoverview,'-,'-,2025-10-08 08:57:55,W
WSJODC,MAP,,'+,?,*,,,'-,'-,48,,0,,,YY,'-,map,'+,'-,2025-10-08 08:57:55,M
WSJODC,MDR,,'+,?,*,'+,X,'-,'-,32,,0,'+,WEJOBM,YN,'-,,'-,'-,2025-10-08 08:57:55,B
WSJODC,MEC,,'+,?,*,'+,X,'-,'-,12,,0,'+,WEWOEQ,YY,'-,,'-,'-,2025-10-08 08:57:55,B
WSJODC,NCF,NOCO,'+,?,*,'+,X,'-,'-,46,,0,'+,OENCOB,YY,'-,listdetailview,'-,'-,2025-10-08 08:57:55,B
WSJODC,NCT,NOCF,'-,?,*,'+,X,'-,'-,54,,0,'+,OENCOB,YY,'-,listdetailview,'-,'-,2025-10-08 08:57:55,B
WSJODC,ORD,,'+,?,,,,'-,'-,17,,0,,,YY,'-,listonly,'+,'-,2025-10-08 08:57:55,B
WSJODC,PAR,,'+,?,*,'+,X,'-,'+,10,,0,,WEPART,YY,'-,listdetailview,'-,'-,2025-10-08 08:57:55,B
WSJODC,PAS,,'-,?,*,'+,X,'-,'-,23,,0,'+,,YN,'-,,'-,'-,2025-10-08 08:57:55,B
WSJODC,PEV,PERM,'+,?,*,'+,,'-,,30,,0,'+,,YN,'-,listdetailview,'-,'-,2025-10-08 08:57:55,B
WSJODC,PFA,,'+,?,*,'+,X,'-,'-,31,,0,'+,WEJOBP,YN,'-,,'-,'-,2025-10-08 08:57:55,B
WSJODC,PLA,,'-,?,*,'+,X,'-,'-,43,,0,'+,WEACTJ,YY,'-,listdetailview,'-,'-,2025-10-08 08:57:55,B
WSJODC,REA,READ,'+,?,*,'+,X,'-,,9,,0,'+,WEMTRR,YY,'-,,'-,'-,2025-10-08 08:57:55,B
WSJODC,RMR,,'+,?,,,,'-,'-,55,,0,,,YY,'-,listonly,'+,'-,2025-10-08 08:57:55,B
WSJODC,RSL,,'+,?,,,,,'-,60,,0,'-,,YY,'-,listonly,'+,'-,2026-04-02 01:02:59,B
WSJODC,RSS,,'+,?,*,'+,X,'-,'-,33,,0,'+,WEJOBR,YY,'-,,'-,'-,2025-10-08 08:57:55,B
WSJODC,RWH,EVNT,'+,?,*,,,'-,'-,37,,0,'+,,YY,'-,listonly,'+,'-,2025-10-08 08:57:55,B
WSJODC,RWO,EVNT,'+,?,*,,,'-,'-,36,,0,'+,,YY,'-,listonly,'-,'-,2025-10-08 08:57:55,B
WSJODC,SCH,,'+,?,*,'+,X,'-,,8,,0,'+,WESCHD,YY,'-,listdetailview,'-,'-,2025-10-08 08:57:55,B
WSJODC,SRQ,,'+,?,,,,'-,'-,20,,0,,,YN,'-,recordview,'-,'-,2025-10-08 08:57:55,B
WSJODC,TOR,,'+,?,*,'+,X,'-,'-,15,,0,'+,WETLWO,YY,'-,listdetailview,'-,'-,2025-10-08 08:57:55,B
WSJODC,TOU,,'+,?,*,'+,X,'-,'-,14,,0,'+,WETLUG,YY,'-,listdetailview,'-,'-,2025-10-08 08:57:55,B
WSJODC,TPL,,'+,?,*,'+,X,'-,'-,35,,0,'+,WEPNTL,YY,'-,listdetailview,'-,'-,2025-10-08 08:57:55,B
WSJODC,TRL,TRL,'+,?,,,,'-,'-,50,,0,,,YY,'-,listonly,'+,'-,2025-10-08 08:57:55,B
WSJODC,TRTD,,'+,?,,,,'-,'-,99,,0,,,YY,'-,listdetailview,'-,'+,2025-10-08 08:57:55,W
WSJODC,UT1,,'+,?,*,'+,X,,,57,,0,,,YY,'-,,'-,'-,2025-10-08 08:57:55,B
WSJODC,UT2,,'+,?,*,'+,X,,,60,,0,,,YY,'-,,'-,'-,2025-10-08 08:57:55,W
WSJODC,VBH,BOOK,'+,?,,'+,,'-,'-,6,,0,'+,WEVDBK,YY,'-,listdetailview,'-,'-,2025-10-08 08:57:55,B
WSJODC,WEH,,'+,?,,,,'-,'-,58,,0,,,YY,'-,listonly,'+,'-,2025-10-08 08:57:55,B
WSJODC,WFE,WFEV,'+,?,*,,,'-,'-,57,,0,,,YY,'-,listonly,'-,'-,2025-10-08 08:57:55,B
WSJODC,WKM,WKMV,'+,?,*,'+,X,'-,'-,45,,0,'+,OEWKMV,YY,'-,,'-,'-,2025-10-08 08:57:55,B
WSJODC,WOR,WORP,'-,?,*,'+,X,'-,'-,42,,0,'+,WEWORP,YY,'-,listdetailview,'-,'-,2025-10-08 08:57:55,B
