PLO_USERGROUP,PLO_PAGENAME,PLO_ELEMENTID,PLO_ELEMENTTYPE,PLO_PRESENTINJSP,PLO_ATTRIBUTE,PLO_FIELDCONTAINER,PLO_FIELDGROUP,PLO_POSITIONINGROUP,PLO_FIELDCONTTYPE,PLO_TABINDEX,PLO_SYSTEMATTRIBUTE,PLO_CHANGED,PLO_UPDATECOUNT,PLO_MEKEY,PLO_MEFLAG,PLO_DEFAULTVALUE,PLO_PARENTPAGE,PLO_LASTSAVED
DK,CCJOBS,priority,F,Y,O,cont_6,2,1,1,890,O,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,problemcode,F,Y,O,cont_5,2,1,1,610,O,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,problemcodedesc,F,Y,H,cont_5,25,1,1,860,P,'+,0,YY,,,WSJOBS,2024-04-04 01:09:33
DK,CCJOBS,productionenddate,F,Y,P,cont_4.5,2,1,1,560,P,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,productionorder,F,Y,P,cont_4.3,3,1,1,540,P,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,productionpriority,F,Y,O,cont_4.6,1,1,2,580,O,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,productionprioritydescription,F,Y,H,cont_4.6,2,1,2,590,P,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,productionrequest,F,Y,P,cont_4.3,1,1,1,520,P,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,productionrequestrevision,F,Y,P,cont_4.3,2,1,1,530,P,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,productionstartdate,F,Y,P,cont_4.5,1,1,1,550,P,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,projbud,F,Y,H,cont_9,13,3,1,2730,O,'+,0,YN,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,project,F,Y,H,cont_9,13,1,1,2710,O,'+,0,YN,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,projectdash,F,Y,H,cont_9,13,2,1,2720,O,'+,0,YN,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,projectdesc,F,Y,H,cont_9,19,1,1,2810,P,'+,0,YY,,,WSJOBS,2025-04-03 00:51:36
DK,CCJOBS,property,F,Y,H,cont_5,12,1,1,730,P,'+,0,YN,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,propertydamage,F,Y,H,cont_9.2,4,1,1,3000,O,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,reasonforrepair,F,Y,H,cont_7,6,1,1,1540,O,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,recallnotice,F,Y,H,cont_9.1,13,1,1,2940,O,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,rejectreason,F,Y,H,cont_5,14,1,1,750,P,'+,0,YY,,,WSJOBS,2023-10-16 13:02:29
