TRP_FUNCTION,TRP_TAB,TRP_GROUP,TRP_VISIBLE,TRP_SELECT,TRP_UPDATE,TRP_INSERT,TRP_DELETE,TRP_SYSREQUIRED,TRP_UPDATECOUNT,TRP_SEQUENCE,TRP_SECURITYDDSPYID,TRP_ALTERSAVE,TRP_UPDATED,TRP_LASTSAVED
ZJ1000,CLO,DK,'-,?,*,'+,X,'+,1,7,,,2025-10-23 13:36:34,2025-10-23 13:36:34
ZJ1000,CMT,DK,'+,?,*,'+,X,'+,2,3,,,2025-10-23 13:36:58,2025-10-23 13:36:58
ZJ1000,CST,DK,'-,?,,,,'+,1,13,,,2025-10-23 13:36:34,2025-10-23 13:36:34
ZJ1000,CTR,DK,'-,?,,,,'-,1,24,,,2025-10-23 13:36:34,2025-10-23 13:36:34
ZJ1000,CWO,DK,'-,?,*,'+,X,,1,16,,'+,2025-10-23 13:36:34,2025-10-23 13:36:34
ZJ1000,DAE,DK,'-,?,*,'+,X,'-,1,53,,,2025-10-23 13:36:34,2025-10-23 13:36:34
ZJ1000,DES,DK,'-,?,*,'+,X,'-,0,22,,,2025-10-23 11:44:13,2025-10-23 11:44:13
ZJ1000,DIW,DK,'-,?,,,,'-,1,47,,,2025-10-23 13:36:34,2025-10-23 13:36:34
ZJ1000,DOC,DK,'+,?,*,'+,X,'+,3,11,,,2025-10-23 13:37:28,2025-10-23 13:37:28
ZJ1000,DPD,DK,,,,,,,1,100,,'+,2026-04-02 01:02:59,2026-04-02 01:02:59
ZJ1000,EAC,DK,'-,?,*,'+,X,'-,1,51,,'+,2025-10-23 13:36:34,2025-10-23 13:36:34
ZJ1000,EER,DK,'-,?,*,'+,X,'-,1,52,,'+,2025-10-23 13:36:34,2025-10-23 13:36:34
ZJ1000,EPO,DK,'-,?,*,'+,X,'-,1,29,,'+,2025-10-23 13:36:34,2025-10-23 13:36:34
ZJ1000,ERC,DK,'-,?,,,,'-,0,21,,,2025-10-23 11:44:13,2025-10-23 11:44:13
ZJ1000,ETP,DK,'-,?,*,'+,X,'-,1,27,,'+,2025-10-23 13:36:34,2025-10-23 13:36:34
ZJ1000,GPH,DK,'-,?,,,,'-,1,38,,,2025-10-23 13:36:34,2025-10-23 13:36:34
ZJ1000,JBL,DK,'-,?,*,'+,X,'-,1,18,,'+,2025-10-23 13:36:34,2025-10-23 13:36:34
ZJ1000,JOB,DK,'-,?,*,'+,X,'-,1,41,,'+,2025-10-23 13:36:34,2025-10-23 13:36:34
ZJ1000,KSF,DK,'-,?,*,'+,X,'-,1,39,,'+,2025-10-23 13:36:34,2025-10-23 13:36:34
ZJ1000,LNO,DK,'-,?,,,,'-,1,44,,,2025-10-23 13:36:34,2025-10-23 13:36:34
ZJ1000,MAP,DK,'-,?,*,,,'-,1,48,,,2025-10-23 13:36:34,2025-10-23 13:36:34
ZJ1000,MDR,DK,'-,?,*,'+,X,'-,1,32,,'+,2025-10-23 13:36:34,2025-10-23 13:36:34
ZJ1000,MEC,DK,'-,?,*,'+,X,'-,1,12,,'+,2025-10-23 13:36:34,2025-10-23 13:36:34
ZJ1000,NCF,DK,'-,?,*,'+,X,'-,1,46,,'+,2025-10-23 13:36:34,2025-10-23 13:36:34
ZJ1000,NCT,DK,'-,?,*,'+,X,'-,1,54,,'+,2025-10-23 13:36:34,2025-10-23 13:36:34
ZJ1000,ORD,DK,'-,?,,,,'-,1,17,,,2025-10-23 13:36:34,2025-10-23 13:36:34
ZJ1000,PAR,DK,'-,?,*,'+,X,'+,1,10,,,2025-10-23 13:36:34,2025-10-23 13:36:34
ZJ1000,PAS,DK,'-,?,*,'+,X,'-,1,23,,'+,2025-10-23 13:36:34,2025-10-23 13:36:34
ZJ1000,PEV,DK,'-,?,*,'+,,,1,30,,'+,2025-10-23 13:36:34,2025-10-23 13:36:34
ZJ1000,PFA,DK,'-,?,*,'+,X,'-,1,31,,'+,2025-10-23 13:36:34,2025-10-23 13:36:34
ZJ1000,PLA,DK,'-,?,*,'+,X,'-,1,43,,'+,2025-10-23 13:36:34,2025-10-23 13:36:34
ZJ1000,REA,DK,'-,?,*,'+,X,,1,9,,'+,2025-10-23 13:36:34,2025-10-23 13:36:34
ZJ1000,RMR,DK,'-,?,,,,'-,1,55,,,2025-10-23 13:36:34,2025-10-23 13:36:34
ZJ1000,RSL,DK,,,,,,,1,101,,'-,2026-04-02 01:02:59,2026-04-02 01:02:59
ZJ1000,RSS,DK,'-,?,*,'+,X,'-,1,33,,'+,2025-10-23 13:36:34,2025-10-23 13:36:34
ZJ1000,RWH,DK,'-,?,*,,,'-,1,37,,'+,2025-10-23 13:36:34,2025-10-23 13:36:34
ZJ1000,RWO,DK,'-,?,*,,,'-,1,36,,'+,2025-10-23 13:36:34,2025-10-23 13:36:34
ZJ1000,SCH,DK,'-,?,*,'+,X,,1,8,,'+,2025-10-23 13:36:34,2025-10-23 13:36:34
ZJ1000,SRQ,DK,'-,?,,,,'-,1,20,,,2025-10-23 13:36:34,2025-10-23 13:36:34
ZJ1000,TOR,DK,'-,?,*,'+,X,'-,1,15,,'+,2025-10-23 13:36:34,2025-10-23 13:36:34
ZJ1000,TOU,DK,'-,?,*,'+,X,'-,1,14,,'+,2025-10-23 13:37:28,2025-10-23 13:37:28
ZJ1000,TPL,DK,'-,?,*,'+,X,'-,1,35,,'+,2025-10-23 13:36:34,2025-10-23 13:36:34
ZJ1000,TRL,DK,'-,?,,,,'-,1,50,,,2025-10-23 13:37:28,2025-10-23 13:37:28
ZJ1000,TRTD,DK,'+,?,,,,'-,0,99,,,2025-10-23 11:44:13,2025-10-23 11:44:13
ZJ1000,UT1,DK,'-,?,*,'+,X,,1,57,,,2025-10-23 13:36:34,2025-10-23 13:36:34
ZJ1000,UT2,DK,'-,?,*,'+,X,,1,60,,,2025-10-23 13:36:34,2025-10-23 13:36:34
ZJ1000,VBH,DK,'-,?,,'+,,'-,1,6,,'+,2025-10-23 13:36:34,2025-10-23 13:36:34
ZJ1000,WEH,DK,'+,?,,,,'-,1,58,,,2025-10-23 13:36:58,2025-10-23 13:36:58
ZJ1000,WFE,DK,'+,?,*,,,'+,2,57,,,2025-10-23 13:37:28,2025-10-23 13:37:28
ZJ1000,WKM,DK,'-,?,*,'+,X,'-,1,45,,'+,2025-10-23 13:37:29,2025-10-23 13:37:29
ZJ1000,WOR,DK,'-,?,*,'+,X,'-,1,42,,'+,2025-10-23 13:36:34,2025-10-23 13:36:34
